Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long, TM-score, RMSD
4RHZB, 125, 17.233333, 0.376000, 0.387097, 0.400000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.071429, 0.111111, 0.200000, 0.000000, 0.414414, 0.433962, 0.450000, 0.300000, 0.216094, 17.565182
4ROCA, 302, 2685.539445, 0.334437, 0.476821, 0.716667, 0.933333, 0.000000, 0.000000, 0.000000, 0.000000, 0.271186, 0.434783, 0.727273, 1.000000, 0.349794, 0.484375, 0.714286, 0.920000, 0.175259, 43.116045
4RS1B, 267, 7474.942935, 0.554307, 0.766917, 0.924528, 0.923077, 0.000000, 0.000000, 0.000000, 0.000000, 0.425532, 0.687500, 0.777778, 1.000000, 0.581818, 0.777778, 0.954545, 0.920000, 0.160477, 35.359399
4RU3A, 205, 1007.568718, 0.439024, 0.578431, 0.634146, 0.600000, 0.000000, 0.000000, 0.000000, 0.000000, 0.473684, 0.812500, 0.000000, 0.000000, 0.431138, 0.534884, 0.634146, 0.600000, 0.197994, 22.977483
4RZAA, 179, 463.742931, 0.290503, 0.370787, 0.514286, 0.647059, 0.000000, 0.000000, 0.000000, 0.000000, 0.268293, 0.357143, 0.437500, 0.428571, 0.297101, 0.377049, 0.578947, 0.800000, 0.169700, 29.777577
4UFQB, 210, 16.552383, 0.009524, 0.009524, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027027, 0.020408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.074500, 47.447477
4V0HD, 223, 14507.372833, 0.623318, 0.693694, 0.886364, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.640625, 0.705882, 0.857143, 1.000000, 0.616352, 0.688312, 0.913043, 1.000000, 0.361829, 23.716787
4V17B, 149, 17.365152, 0.100671, 0.121622, 0.103448, 0.142857, 0.000000, 0.000000, 0.000000, 0.000000, 0.095238, 0.111111, 0.153846, 0.111111, 0.101562, 0.125000, 0.062500, 0.200000, 0.112305, 30.712470
4WBEC, 119, 146.066856, 0.210084, 0.271186, 0.391304, 0.454545, 0.000000, 0.000000, 0.000000, 0.000000, 0.075000, 0.117647, 0.000000, 0.000000, 0.278481, 0.333333, 0.450000, 0.500000, 0.160184, 44.790292
4WY9A, 285, 4106.036292, 0.438596, 0.654930, 0.842105, 0.892857, 0.000000, 0.000000, 0.000000, 0.000000, 0.571429, 0.761905, 0.863636, 1.000000, 0.395349, 0.610000, 0.828571, 0.823529, 0.174339, 65.036859
4X0NB, 44, 2.000000, 0.090909, 0.090909, 0.125000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.222222, 0.000000, 0.000000, 0.000000, 0.057143, 0.090909, 0.125000, 0.000000, 0.103789, 11.639969
4X1TA, 321, 15409.443160, 0.660436, 0.800000, 0.828125, 0.812500, 0.000000, 0.000000, 0.000000, 0.000000, 0.778947, 0.870370, 0.944444, 1.000000, 0.610619, 0.764151, 0.782609, 0.769231, 0.398901, 34.551863
4XE7A, 419, 2642.700573, 0.479714, 0.617225, 0.734940, 0.780488, 0.000000, 0.000000, 0.000000, 0.000000, 0.529412, 0.589744, 0.687500, 0.666667, 0.470085, 0.623529, 0.746269, 0.789474, 0.240655, 27.648330
4XMQB, 254, 6630.062796, 0.385827, 0.480315, 0.660000, 0.640000, 0.000000, 0.000000, 0.000000, 0.000000, 0.424242, 0.450000, 0.476190, 0.533333, 0.372340, 0.494253, 0.793103, 0.800000, 0.184589, 49.259657
4XRWA, 305, 11080.303427, 0.560656, 0.750000, 0.918033, 0.966667, 0.000000, 0.000000, 0.000000, 0.000000, 0.730769, 0.814815, 0.916667, 1.000000, 0.525692, 0.736000, 0.918367, 0.958333, 0.223841, 38.326242
4XVNF, 131, 775.688875, 0.106870, 0.169231, 0.384615, 0.615385, 0.000000, 0.000000, 0.000000, 0.000000, 0.210526, 0.333333, 0.600000, 0.750000, 0.089286, 0.132075, 0.333333, 0.555556, 0.173006, 43.000632
4XYWA, 324, 30735.082700, 0.722222, 0.845679, 0.906250, 0.906250, 0.000000, 0.000000, 0.000000, 0.000000, 0.691358, 0.772727, 0.846154, 0.777778, 0.732510, 0.872881, 0.921569, 0.956522, 0.369284, 17.428577
4XZVH, 133, 762.395600, 0.308271, 0.318182, 0.576923, 0.769231, 0.000000, 0.000000, 0.000000, 0.000000, 0.452381, 0.423077, 0.615385, 1.000000, 0.241758, 0.250000, 0.538462, 0.625000, 0.243612, 30.419674
4Y25A, 290, 1932.002918, 0.293103, 0.441379, 0.534483, 0.655172, 0.000000, 0.000000, 0.000000, 0.000000, 0.506024, 0.755556, 0.842105, 1.000000, 0.207729, 0.300000, 0.384615, 0.473684, 0.173066, 45.939668
4Y68D, 287, 5090.242916, 0.627178, 0.790210, 0.894737, 0.964286, 0.000000, 0.000000, 0.000000, 0.000000, 0.617647, 1.000000, 1.000000, 0.000000, 0.628458, 0.776119, 0.892857, 0.964286, 0.307122, 36.137709
4Y6TF, 139, 31.042988, 0.165468, 0.173913, 0.148148, 0.153846, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.179688, 0.184615, 0.160000, 0.153846, 0.085560, 50.613717
4YAMD, 248, 11193.233345, 0.455645, 0.580645, 0.775510, 0.833333, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.375000, 0.500000, 0.000000, 0.465217, 0.594828, 0.787234, 0.869565, 0.340780, 23.174015
4YO2A, 186, 696.804635, 0.123656, 0.182796, 0.270270, 0.277778, 0.000000, 0.000000, 0.000000, 0.000000, 0.030303, 0.047619, 0.111111, 0.142857, 0.143791, 0.222222, 0.321429, 0.363636, 0.114425, 68.385152
4YO3L, 153, 315.191110, 0.150327, 0.223684, 0.300000, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.106383, 0.166667, 0.200000, 0.333333, 0.169811, 0.260870, 0.400000, 0.333333, 0.179511, 38.924330
4YO5L, 128, 304.346306, 0.148438, 0.218750, 0.320000, 0.416667, 0.000000, 0.000000, 0.000000, 0.000000, 0.185185, 0.176471, 0.333333, 0.500000, 0.138614, 0.234043, 0.312500, 0.375000, 0.214608, 23.791595
4YXYD, 91, 15540.670474, 0.010989, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.058824, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.172931, 18.601183
4YY2D, 99, 1.000000, 0.161616, 0.183673, 0.210526, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.200000, 0.000000, 0.000000, 0.144578, 0.181818, 0.222222, 0.333333, 0.165658, 12.274341
4Z39B, 121, 1882.382478, 0.330579, 0.433333, 0.666667, 0.833333, 0.000000, 0.000000, 0.000000, 0.000000, 0.235294, 0.230769, 0.500000, 0.666667, 0.367816, 0.489362, 0.722222, 0.888889, 0.345847, 12.494836
4Z3UC, 164, 29.017453, 0.036585, 0.048780, 0.062500, 0.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.045802, 0.065574, 0.111111, 0.100000, 0.065442, 63.853067
4Z3UD, 245, 56.819444, 0.102041, 0.155738, 0.224490, 0.291667, 0.000000, 0.000000, 0.000000, 0.000000, 0.098039, 0.103448, 0.100000, 0.000000, 0.103093, 0.172043, 0.256410, 0.318182, 0.075952, 77.515262
4Z80B, 466, 48.104716, 0.060086, 0.077253, 0.086022, 0.065217, 0.000000, 0.000000, 0.000000, 0.000000, 0.080000, 0.083333, 0.250000, 0.500000, 0.057692, 0.076555, 0.070588, 0.045455, 0.051576, 177.644811
4Z80D, 31, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.128101, 8.272803
4ZI2C, 131, 321.470585, 0.213740, 0.323077, 0.500000, 0.461538, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.200000, 0.166667, 0.000000, 0.234234, 0.345455, 0.600000, 0.600000, 0.162453, 30.700058
4ZI8B, 323, 13250.120998, 0.780186, 0.844720, 0.906250, 0.968750, 0.000000, 0.000000, 0.000000, 0.000000, 0.875000, 0.925926, 1.000000, 1.000000, 0.766784, 0.828358, 0.875000, 0.954545, 0.415842, 13.672798
4ZI9B, 309, 13744.776669, 0.750809, 0.805195, 0.885246, 0.933333, 0.000000, 0.000000, 0.000000, 0.000000, 0.864865, 0.857143, 0.900000, 0.857143, 0.735294, 0.796992, 0.882353, 0.956522, 0.386579, 15.131070
4ZLHB, 338, 26205.673560, 0.325444, 0.514793, 0.671642, 0.848485, 0.000000, 0.000000, 0.000000, 0.000000, 0.546512, 0.745098, 0.846154, 0.947368, 0.250000, 0.415254, 0.560976, 0.714286, 0.293138, 56.594497
4ZRSB, 291, 21198.341763, 0.690722, 0.793103, 0.896552, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.400000, 0.000000, 0.000000, 0.722846, 0.822222, 0.896552, 1.000000, 0.420281, 29.669768
4ZUAB, 151, 7505.275733, 0.569536, 0.760000, 0.900000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.575758, 0.722222, 1.000000, 1.000000, 0.567797, 0.771930, 0.869565, 1.000000, 0.169433, 41.252812
4ZUYB, 84, 72.394542, 0.309524, 0.261905, 0.375000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.428571, 0.166667, 0.000000, 0.000000, 0.285714, 0.277778, 0.428571, 0.333333, 0.234008, 11.696252
4ZV0A, 135, 36.333333, 0.244444, 0.298507, 0.296296, 0.153846, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.384615, 0.200000, 0.250000, 0.233333, 0.277778, 0.318182, 0.111111, 0.135999, 21.390808
4ZV0B, 93, 76.538622, 0.344086, 0.413043, 0.388889, 0.444444, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.666667, 0.000000, 0.301370, 0.388889, 0.333333, 0.500000, 0.217609, 12.304165
4ZV4D, 163, 41.375000, 0.251534, 0.320988, 0.281250, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.400000, 0.500000, 0.000000, 0.230216, 0.309859, 0.230769, 0.285714, 0.161923, 23.765377
4ZWTN, 125, 63.335791, 0.208000, 0.338710, 0.320000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.090909, 0.166667, 0.200000, 0.285714, 0.250000, 0.409091, 0.400000, 0.200000, 0.239415, 49.978187
5AG8B, 149, 4832.422602, 0.348993, 0.500000, 0.793103, 0.928571, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.480000, 0.571429, 0.000000, 0.357143, 0.510204, 0.863636, 0.928571, 0.084173, 51.776622
5AN6C, 123, 250.361905, 0.162602, 0.213115, 0.416667, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.277778, 0.272727, 0.500000, 1.000000, 0.142857, 0.200000, 0.400000, 0.454545, 0.231063, 20.810700
5AWWG, 75, 1763.600303, 0.360000, 0.648649, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.333333, 1.000000, 0.000000, 0.371429, 0.676471, 1.000000, 1.000000, 0.361492, 8.578571
5BU3D, 181, 59.518182, 0.370166, 0.622222, 0.888889, 0.944444, 0.000000, 0.000000, 0.000000, 0.000000, 0.643836, 0.741379, 0.870968, 0.944444, 0.185185, 0.406250, 1.000000, 0.000000, 0.086837, 58.334695
5BYOB, 372, 16063.078390, 0.013441, 0.005376, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013441, 0.005376, 0.000000, 0.000000, 0.197468, 39.914378
5C21B, 261, 6773.022432, 0.670498, 0.861538, 0.942308, 0.923077, 0.000000, 0.000000, 0.000000, 0.000000, 0.851852, 0.933333, 1.000000, 1.000000, 0.649573, 0.852174, 0.934783, 0.913043, 0.262982, 21.769629
5CNQA, 385, 3872.624831, 0.387013, 0.588542, 0.779221, 0.842105, 0.000000, 0.000000, 0.000000, 0.000000, 0.426966, 0.517857, 0.666667, 0.700000, 0.375000, 0.617647, 0.830189, 0.892857, 0.231677, 69.027553
5CRAB, 172, 11.904461, 0.156977, 0.139535, 0.117647, 0.117647, 0.000000, 0.000000, 0.000000, 0.000000, 0.344828, 0.166667, 0.142857, 0.166667, 0.118881, 0.135135, 0.111111, 0.090909, 0.090663, 68.952456
5EKPD, 296, 17812.012322, 0.645270, 0.777027, 0.830508, 0.896552, 0.000000, 0.000000, 0.000000, 0.000000, 0.615385, 0.750000, 0.000000, 0.000000, 0.646643, 0.777778, 0.830508, 0.896552, 0.421033, 25.999080
5EO9B, 205, 21104.899677, 0.731707, 0.892157, 0.975610, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.666667, 1.000000, 0.000000, 0.000000, 0.737968, 0.890000, 0.975610, 1.000000, 0.322270, 13.800292
