Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long
T0767-D1, 76, 57.670635, 0.144737, 0.157895, 0.200000, 0.142857, 0.000000, 0.000000, 0.000000, 0.000000, 0.137931, 0.125000, 0.200000, 0.000000, 0.148936, 0.181818, 0.200000, 0.200000
T0767-D2, 180, 116.581218, 0.105556, 0.122222, 0.138889, 0.222222, 0.000000, 0.000000, 0.000000, 0.000000, 0.071429, 0.071429, 0.000000, 0.000000, 0.111842, 0.131579, 0.166667, 0.250000
T0768-D1, 143, 17186.305336, 0.678322, 0.802817, 0.892857, 0.928571, 0.000000, 0.000000, 0.000000, 0.000000, 0.904255, 0.947368, 0.958333, 0.928571, 0.244898, 0.214286, 0.500000, 0.000000
T0769-D1, 97, 1.000000, 0.020619, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023810, 0.000000, 0.000000, 0.000000
T0770-D1, 456, 7358.314781, 0.456140, 0.592105, 0.736264, 0.755556, 0.000000, 0.000000, 0.000000, 0.000000, 0.474576, 0.724138, 0.833333, 0.800000, 0.453401, 0.572864, 0.721519, 0.750000
T0771-D1, 151, 35.183827, 0.019868, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025641, 0.000000, 0.000000, 0.000000
T0772-D1, 214, 1655.914599, 0.467290, 0.672897, 0.809524, 0.809524, 0.000000, 0.000000, 0.000000, 0.000000, 0.521739, 0.666667, 0.666667, 0.000000, 0.460733, 0.673913, 0.833333, 0.850000
T0773-D1, 67, 10.495565, 0.059701, 0.060606, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.031250, 0.000000, 0.000000, 0.000000, 0.085714, 0.117647, 0.000000, 0.000000
T0774-D1, 333, 937.564733, 0.252252, 0.379518, 0.545455, 0.818182, 0.000000, 0.000000, 0.000000, 0.000000, 0.407407, 0.529412, 0.714286, 0.666667, 0.238562, 0.362416, 0.525424, 0.833333
T0776-D1, 219, 6870.528297, 0.552511, 0.724771, 0.883721, 0.952381, 0.000000, 0.000000, 0.000000, 0.000000, 0.562500, 0.800000, 1.000000, 1.000000, 0.551724, 0.721154, 0.878049, 0.950000
T0777-D1, 345, 98.352381, 0.060870, 0.069767, 0.101449, 0.058824, 0.000000, 0.000000, 0.000000, 0.000000, 0.053333, 0.050000, 0.125000, 0.111111, 0.062963, 0.075758, 0.094340, 0.040000
T0780-D1, 95, 2587.211138, 0.568421, 0.787234, 0.947368, 0.888889, 0.000000, 0.000000, 0.000000, 0.000000, 0.576923, 0.800000, 1.000000, 1.000000, 0.565217, 0.781250, 0.923077, 0.857143
T0780-D2, 96, 2234.898008, 0.604167, 0.708333, 0.684211, 0.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.687500, 1.000000, 1.000000, 0.000000, 0.587500, 0.666667, 0.625000, 0.666667
T0781-D1, 200, 6.000000, 0.010000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.010929, 0.021978, 0.000000, 0.000000
T0781-D2, 175, 34.180546, 0.017143, 0.011494, 0.028571, 0.058824, 0.000000, 0.000000, 0.000000, 0.000000, 0.055556, 0.052632, 0.125000, 0.333333, 0.007194, 0.000000, 0.000000, 0.000000
T0782-D1, 110, 135.930952, 0.218182, 0.236364, 0.363636, 0.272727, 0.000000, 0.000000, 0.000000, 0.000000, 0.350000, 0.500000, 0.666667, 0.500000, 0.188889, 0.177778, 0.250000, 0.222222
T0783-D1, 243, 9156.046709, 0.493827, 0.603306, 0.770833, 0.750000, 0.000000, 0.000000, 0.000000, 0.000000, 0.545455, 0.666667, 0.857143, 1.000000, 0.485714, 0.592233, 0.756098, 0.727273
T0783-D2, 156, 45.523901, 0.083333, 0.076923, 0.032258, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.074074, 0.045455, 0.000000, 0.000000, 0.088235, 0.089286, 0.043478, 0.000000
T0784-D1, 125, 9.000000, 0.016000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.052632, 0.000000, 0.000000, 0.000000, 0.009434, 0.000000, 0.000000, 0.000000
T0785-D1, 112, 4.000000, 0.053571, 0.071429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.129032, 0.300000, 0.000000, 0.000000, 0.024691, 0.021739, 0.000000, 0.000000
T0786-D1, 217, 3335.677298, 0.313364, 0.472222, 0.558140, 0.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.380952, 0.666667, 0.500000, 0.000000, 0.306122, 0.454545, 0.560976, 0.700000
T0789-D1, 143, 480.661551, 0.188811, 0.267606, 0.535714, 0.571429, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.375000, 0.500000, 0.500000, 0.183206, 0.253968, 0.541667, 0.583333
T0789-D2, 126, 424.259821, 0.198413, 0.301587, 0.320000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.136364, 0.333333, 0.333333, 0.250000, 0.211538, 0.296296, 0.315789, 0.625000
T0790-D1, 135, 526.319730, 0.222222, 0.343284, 0.629630, 0.615385, 0.000000, 0.000000, 0.000000, 0.000000, 0.285714, 0.500000, 0.750000, 0.666667, 0.214876, 0.322034, 0.608696, 0.600000
T0790-D2, 130, 442.752931, 0.169231, 0.261538, 0.461538, 0.384615, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.300000, 0.400000, 0.250000, 0.165217, 0.254545, 0.476190, 0.444444
T0791-D1, 149, 394.017326, 0.147651, 0.243243, 0.517241, 0.714286, 0.000000, 0.000000, 0.000000, 0.000000, 0.095238, 0.125000, 0.000000, 0.000000, 0.156250, 0.257576, 0.535714, 0.769231
T0791-D2, 138, 401.961647, 0.173913, 0.231884, 0.370370, 0.384615, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.307692, 0.600000, 0.600000, 0.161017, 0.214286, 0.318182, 0.250000
T0792-D1, 78, 272.247663, 0.141026, 0.205128, 0.466667, 0.285714, 0.000000, 0.000000, 0.000000, 0.000000, 0.160000, 0.266667, 0.750000, 0.500000, 0.132075, 0.166667, 0.363636, 0.200000
T0794-D1, 288, 10045.650568, 0.479167, 0.618056, 0.807018, 0.821429, 0.000000, 0.000000, 0.000000, 0.000000, 0.625000, 0.666667, 0.833333, 1.000000, 0.465909, 0.612403, 0.803922, 0.800000
T0794-D2, 172, 233.262954, 0.197674, 0.279070, 0.470588, 0.588235, 0.000000, 0.000000, 0.000000, 0.000000, 0.120000, 0.083333, 0.333333, 0.500000, 0.210884, 0.310811, 0.483871, 0.600000
T0796-D1, 296, 543.269068, 0.155405, 0.256757, 0.457627, 0.517241, 0.000000, 0.000000, 0.000000, 0.000000, 0.065217, 0.080000, 0.250000, 0.000000, 0.172000, 0.292683, 0.472727, 0.517241
T0800-D1, 212, 3388.883031, 0.476415, 0.509434, 0.523810, 0.571429, 0.000000, 0.000000, 0.000000, 0.000000, 0.630435, 0.680000, 0.642857, 0.750000, 0.433735, 0.456790, 0.464286, 0.461538
T0801-D1, 360, 14480.612787, 0.655556, 0.750000, 0.819444, 0.805556, 0.000000, 0.000000, 0.000000, 0.000000, 0.692308, 0.888889, 0.857143, 1.000000, 0.651090, 0.734568, 0.815385, 0.787879
T0803-D1, 134, 1600.578848, 0.141791, 0.223881, 0.346154, 0.538462, 0.000000, 0.000000, 0.000000, 0.000000, 0.063830, 0.074074, 0.090909, 0.250000, 0.183908, 0.325000, 0.533333, 0.666667
T0805-D1, 197, 12536.013540, 0.517766, 0.653061, 0.794872, 0.894737, 0.000000, 0.000000, 0.000000, 0.000000, 0.285714, 0.250000, 0.000000, 0.000000, 0.526316, 0.670213, 0.815789, 0.894737
T0806-D1, 256, 1714.587470, 0.460938, 0.609375, 0.803922, 0.760000, 0.000000, 0.000000, 0.000000, 0.000000, 0.535714, 0.764706, 0.833333, 0.666667, 0.451754, 0.585586, 0.800000, 0.772727
T0807-D1, 283, 20031.551407, 0.621908, 0.709220, 0.803571, 0.821429, 0.000000, 0.000000, 0.000000, 0.000000, 0.736842, 0.888889, 1.000000, 1.000000, 0.613636, 0.696970, 0.796296, 0.814815
T0808-D1, 131, 248.403896, 0.274809, 0.415385, 0.615385, 0.769231, 0.000000, 0.000000, 0.000000, 0.000000, 0.235294, 0.250000, 0.250000, 0.000000, 0.280702, 0.438596, 0.681818, 0.769231
T0808-D2, 269, 226.300923, 0.182156, 0.223881, 0.226415, 0.384615, 0.000000, 0.000000, 0.000000, 0.000000, 0.173913, 0.260870, 0.142857, 0.250000, 0.183857, 0.216216, 0.239130, 0.409091
T0810-D1, 113, 13.000000, 0.061947, 0.071429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027778, 0.050000, 0.000000, 0.000000, 0.077922, 0.083333, 0.000000, 0.000000
T0810-D2, 225, 12179.320072, 0.586667, 0.758929, 0.844444, 0.772727, 0.000000, 0.000000, 0.000000, 0.000000, 0.454545, 0.700000, 0.800000, 0.666667, 0.600985, 0.764706, 0.850000, 0.789474
T0811-D1, 251, 3978.279669, 0.573705, 0.696000, 0.700000, 0.760000, 0.000000, 0.000000, 0.000000, 0.000000, 0.722222, 0.875000, 0.750000, 1.000000, 0.562232, 0.683761, 0.695652, 0.727273
T0812-D1, 182, 797.497152, 0.263736, 0.384615, 0.500000, 0.555556, 0.000000, 0.000000, 0.000000, 0.000000, 0.107143, 0.250000, 0.333333, 0.500000, 0.333333, 0.432836, 0.533333, 0.562500
T0813-D1, 302, 9939.542410, 0.526490, 0.655629, 0.716667, 0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.486486, 0.611111, 0.555556, 0.666667, 0.532075, 0.661654, 0.745098, 0.833333
T0814-D1, 137, 242.464487, 0.226277, 0.382353, 0.666667, 0.846154, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.555556, 0.666667, 0.750000, 0.213675, 0.355932, 0.666667, 0.888889
T0814-D2, 116, 232.739257, 0.232759, 0.327586, 0.434783, 0.727273, 0.000000, 0.000000, 0.000000, 0.000000, 0.388889, 0.555556, 0.600000, 0.500000, 0.204082, 0.285714, 0.388889, 0.857143
T0814-D3, 144, 526.720353, 0.312500, 0.444444, 0.642857, 0.714286, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.338346, 0.470588, 0.666667, 0.714286
T0815-D1, 106, 2463.730058, 0.452830, 0.679245, 0.857143, 0.900000, 0.000000, 0.000000, 0.000000, 0.000000, 0.571429, 0.888889, 1.000000, 1.000000, 0.423529, 0.636364, 0.833333, 0.875000
T0816-D1, 68, 1849.320914, 0.029412, 0.058824, 0.153846, 0.166667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.045455, 0.074074, 0.250000, 0.250000
T0817-D1, 265, 13660.970724, 0.547170, 0.696970, 0.830189, 0.846154, 0.000000, 0.000000, 0.000000, 0.000000, 0.560000, 0.800000, 0.750000, 0.000000, 0.545833, 0.688525, 0.836735, 0.846154
T0817-D2, 210, 13862.504434, 0.628571, 0.761905, 0.857143, 0.761905, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.714286, 0.666667, 0.666667, 0.636364, 0.765306, 0.871795, 0.777778
T0818-D1, 134, 108.776936, 0.119403, 0.149254, 0.269231, 0.307692, 0.000000, 0.000000, 0.000000, 0.000000, 0.181818, 0.250000, 0.500000, 0.000000, 0.113821, 0.142857, 0.250000, 0.333333
T0819-D1, 367, 18336.022233, 0.572207, 0.699454, 0.767123, 0.805556, 0.000000, 0.000000, 0.000000, 0.000000, 0.709677, 0.857143, 1.000000, 1.000000, 0.559524, 0.686391, 0.753623, 0.794118
T0820-D1, 90, 5.000000, 0.033333, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.050000, 0.095238, 0.000000, 0.000000, 0.020000, 0.041667, 0.000000, 0.000000
T0820-D2, 36, 620.555537, 0.055556, 0.111111, 0.142857, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.064516, 0.117647, 0.166667, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000
T0821-D1, 255, 28218.845773, 0.498039, 0.645669, 0.764706, 0.880000, 0.000000, 0.000000, 0.000000, 0.000000, 0.862069, 0.833333, 0.925926, 1.000000, 0.390863, 0.531646, 0.583333, 0.571429
T0822-D1, 114, 76.574603, 0.192982, 0.333333, 0.409091, 0.454545, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.444444, 0.750000, 1.000000, 0.191489, 0.312500, 0.333333, 0.400000
T0823-D1, 288, 19228.348954, 0.496528, 0.590278, 0.649123, 0.714286, 0.000000, 0.000000, 0.000000, 0.000000, 0.590909, 0.666667, 1.000000, 1.000000, 0.488722, 0.585185, 0.629630, 0.703704
T0824-D1, 108, 346.301033, 0.287037, 0.388889, 0.571429, 0.600000, 0.000000, 0.000000, 0.000000, 0.000000, 0.263158, 0.300000, 0.666667, 1.000000, 0.292135, 0.409091, 0.555556, 0.555556
T0827-D1, 193, 865.170140, 0.248705, 0.395833, 0.552632, 0.631579, 0.000000, 0.000000, 0.000000, 0.000000, 0.292683, 0.384615, 0.583333, 0.714286, 0.236842, 0.400000, 0.538462, 0.583333
T0827-D2, 150, 329.910030, 0.140000, 0.226667, 0.266667, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.029412, 0.111111, 0.333333, 0.500000, 0.172414, 0.242424, 0.259259, 0.307692
T0829-D1, 67, 686.403130, 0.313433, 0.424242, 0.538462, 0.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.444444, 0.333333, 1.000000, 0.380952, 0.416667, 0.600000, 0.600000
T0830-D1, 417, 14047.359485, 0.443645, 0.629808, 0.843373, 0.878049, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.714286, 0.833333, 1.000000, 0.449351, 0.623711, 0.844156, 0.868421
T0830-D2, 111, 633.282659, 0.144144, 0.236364, 0.318182, 0.636364, 0.000000, 0.000000, 0.000000, 0.000000, 0.263158, 0.300000, 0.666667, 0.666667, 0.119565, 0.222222, 0.263158, 0.625000
T0831-D1, 155, 382.030815, 0.141935, 0.155844, 0.161290, 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.162162, 0.210526, 0.250000, 0.250000, 0.135593, 0.137931, 0.130435, 0.181818
T0831-D2, 197, 182.323665, 0.086294, 0.091837, 0.076923, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027778, 0.055556, 0.000000, 0.000000, 0.099379, 0.100000, 0.090909, 0.000000
T0832-D1, 209, 17.000000, 0.019139, 0.019231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023529, 0.021978, 0.000000, 0.000000
T0833-D1, 108, 508.565167, 0.157407, 0.277778, 0.380952, 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.357143, 0.562500, 0.666667, 0.000000, 0.087500, 0.157895, 0.266667, 0.200000
T0834-D1, 99, 84.848810, 0.020202, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025641, 0.000000, 0.000000, 0.000000
T0834-D2, 86, 563.717569, 0.093023, 0.023256, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027778, 0.000000, 0.000000, 0.000000, 0.140000, 0.043478, 0.000000, 0.000000
T0835-D1, 404, 5255.374485, 0.294554, 0.430693, 0.575000, 0.650000, 0.000000, 0.000000, 0.000000, 0.000000, 0.360656, 0.612903, 0.642857, 0.833333, 0.282799, 0.397661, 0.560606, 0.617647
T0836-D1, 204, 1019.955321, 0.191176, 0.215686, 0.300000, 0.350000, 0.000000, 0.000000, 0.000000, 0.000000, 0.171429, 0.200000, 0.285714, 0.500000, 0.195266, 0.218391, 0.303030, 0.333333
T0837-D1, 121, 70.333981, 0.049587, 0.083333, 0.125000, 0.083333, 0.000000, 0.000000, 0.000000, 0.000000, 0.054054, 0.125000, 0.000000, 0.000000, 0.047619, 0.068182, 0.157895, 0.100000
T0838-D1, 126, 16.000000, 0.031746, 0.031746, 0.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.142857, 0.000000, 0.000000, 0.018868, 0.017857, 0.047619, 0.000000
T0840-D1, 519, 1811.788323, 0.190751, 0.266409, 0.427184, 0.568627, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.491803, 0.700000, 0.777778, 0.137681, 0.196970, 0.315068, 0.454545
T0840-D2, 92, 2029.724240, 0.293478, 0.456522, 0.666667, 0.777778, 0.000000, 0.000000, 0.000000, 0.000000, 0.307692, 0.400000, 0.333333, 0.666667, 0.287879, 0.483871, 0.833333, 0.833333
T0841-D1, 230, 22465.189939, 0.656522, 0.747826, 0.847826, 0.913043, 0.000000, 0.000000, 0.000000, 0.000000, 0.750000, 0.800000, 0.833333, 1.000000, 0.643564, 0.740000, 0.850000, 0.909091
T0843-D1, 369, 11621.790638, 0.563686, 0.706522, 0.794521, 0.805556, 0.000000, 0.000000, 0.000000, 0.000000, 0.641026, 0.736842, 0.875000, 1.000000, 0.554545, 0.703030, 0.784615, 0.781250
T0845-D1, 97, 11460.349289, 0.422680, 0.583333, 0.736842, 0.888889, 0.000000, 0.000000, 0.000000, 0.000000, 0.250000, 0.571429, 0.750000, 0.000000, 0.456790, 0.585366, 0.733333, 0.888889
T0845-D2, 329, 19014.308589, 0.267477, 0.341463, 0.384615, 0.437500, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.400000, 0.500000, 0.240678, 0.316901, 0.381818, 0.423077
T0847-D1, 169, 12713.617088, 0.538462, 0.738095, 0.848485, 0.937500, 0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.777778, 0.750000, 1.000000, 0.530201, 0.733333, 0.862069, 0.928571
T0848-D1, 138, 1586.650734, 0.442029, 0.666667, 0.814815, 0.923077, 0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.500000, 0.666667, 0.000000, 0.455285, 0.682540, 0.833333, 0.923077
T0848-D2, 183, 452.642083, 0.191257, 0.285714, 0.444444, 0.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.192308, 0.181818, 0.200000, 1.000000, 0.191083, 0.300000, 0.483871, 0.647059
T0849-D1, 236, 19218.691996, 0.466102, 0.593220, 0.702128, 0.869565, 0.000000, 0.000000, 0.000000, 0.000000, 0.363636, 0.700000, 0.600000, 0.500000, 0.476636, 0.583333, 0.714286, 0.947368
T0851-D1, 453, 9665.981468, 0.490066, 0.623894, 0.688889, 0.711111, 0.000000, 0.000000, 0.000000, 0.000000, 0.531915, 0.666667, 0.900000, 0.800000, 0.485222, 0.618812, 0.662500, 0.700000
T0852-D1, 234, 18851.230038, 0.542735, 0.623932, 0.695652, 0.782609, 0.000000, 0.000000, 0.000000, 0.000000, 0.625000, 0.700000, 0.750000, 1.000000, 0.536697, 0.616822, 0.690476, 0.761905
T0852-D2, 126, 18486.396598, 0.222222, 0.301587, 0.440000, 0.416667, 0.000000, 0.000000, 0.000000, 0.000000, 0.478261, 0.600000, 0.750000, 0.750000, 0.165049, 0.208333, 0.294118, 0.250000
T0853-D1, 76, 19.230952, 0.065789, 0.078947, 0.133333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068966, 0.100000, 0.333333, 0.000000, 0.063830, 0.071429, 0.083333, 0.000000
T0853-D2, 72, 28.888636, 0.097222, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.068966, 0.000000, 0.000000, 0.000000, 0.116279, 0.000000, 0.000000, 0.000000
T0854-D1, 132, 19199.714808, 0.484848, 0.666667, 0.692308, 0.615385, 0.000000, 0.000000, 0.000000, 0.000000, 0.677419, 0.800000, 0.857143, 0.750000, 0.425743, 0.608696, 0.631579, 0.555556
T0854-D2, 70, 4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
T0855-D1, 115, 74.000000, 0.069565, 0.070175, 0.086957, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.117647, 0.083333, 0.200000, 0.000000, 0.061224, 0.066667, 0.055556, 0.000000
T0856-D1, 159, 5927.202511, 0.427673, 0.531646, 0.709677, 0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.258065, 0.277778, 0.428571, 0.500000, 0.468750, 0.606557, 0.791667, 0.846154
T0857-D1, 96, 298.149381, 0.166667, 0.187500, 0.315789, 0.444444, 0.000000, 0.000000, 0.000000, 0.000000, 0.150000, 0.217391, 0.272727, 0.333333, 0.178571, 0.160000, 0.375000, 0.666667
T0858-D1, 450, 3008.386942, 0.466667, 0.648889, 0.777778, 0.911111, 0.000000, 0.000000, 0.000000, 0.000000, 0.583333, 0.823529, 0.750000, 1.000000, 0.456522, 0.634615, 0.780488, 0.904762
